nbSyll;pron;origin;warning;remarques;POS;lineId;pageId;motVedette;word;sampa;ipa
2;ăccreʹw;F.;;;v.;62.0;20;accrue;accrue;@ k r\ u;əkɹu
4;ăccuʹmūlăte;L.;;;v.;63.0;20;accumulate;accumulate;@ k j u m j @ l eI t;əkjumjəl?t
4;ăʹccūracy;L.;;;n.;64.0;20;accuracy;accuracy;{ k j 3:r @ s i:;ækjɜ:rəsiː
3;ăccŭʹrſed;;;;a.;65.0;20;accursed;accursed;@ k 3:r s t;əkɜ:rst
2;ăccūʹſe;L.;;;v.;66.0;20;accuse;accuse;@ k j u z;əkjuz
5;ăccūſāʹtion;L.;;;n.;67.0;20;accusation;accusation;{ k j @ z eI S @ n;ækjəz?ʃən
4;ăccūʹſātive;;;;n.;68.0;20;accusative;accusative;@ k j u z @ 4 i v;əkjuzəɾiv
3;ăccŭʹſtom;F.;;;v.;69.0;20;accustom;accustom;@ k V s t @ m;əkʌstəm
4;ace˘ʹrbĭty;L.;;;n.;70.0;20;acerbic;acerbic;@ s E r\ b i k;əsɛɹbik
3;ăc_h_āʹtes;G.;;;n.;71.0;20;hates;hates;h eI t s;h?ts
1;āc_he_;;;;n.;72.0;20;ache;ache;eI k;?k
3;ăʹc_h_ĕron;G.;;;n.;73.0;20;chevron;chevron;S E v r\ @ n;ʃɛvɹən
2;ăʹcid;L.;;;a.;2.0;21;acid;acid;{ s @ d;æsəd
2;ăʹcids;;;;n.;3.0;21;acids;acids;{ s @ d z;æsədz
4;ăc_k_nŏ_w_lĕdgment;;nbSyll>1 et pas d'accent tonic;;n.;4.0;21;acknowledgment;acknowledgment;{ k n A l i dZ m @ n t;æknɑli?mənt
3;ăʹconīte;G.;;;n.;5.0;21;laconte;laconte;l A k @U n t i:;lɑkoʊntiː
2;ăʹcorn;;;;n.;6.0;21;acorn;acorn;eI k O: r\ n;?kOːɹn
3;ăcȯu̇ʹſtics;G.;;;n.;7.0;21;acoustics;acoustics;@ k u s t i k s;əkustiks
2;ăcquaiʹnt;F.;;;v.;8.0;21;acquaint;acquaint;@ k w eI n t;əkw?nt
3;ăcquaĭʹntănce;;;;n.;9.0;21;acquaintance;acquaintance;@ k w eI n t @ n s;əkw?ntəns
3;acquĭe˘ʹſ_c__e_;L.;;;v.;10.0;21;acquiesce;acquiesce;{ k w i: E s;ækwiːɛs
2;ăcquīʹre;L.;;;v.;11.0;21;acquire;acquire;@ k w aI 3:r;əkw?ɜ:r
5;ăcquĭſĭʹtion;L.;;;n.;12.0;21;acquisition;acquisition;{ k w @ z I S @ n;ækwəzɪʃən
2;ăcquĭʹſts;;;;n.;13.0;21;acquits;acquits;@ k w I t s;əkwɪts
2;ăcquĭʹt;F.;;;v.;14.0;21;acquit;acquit;@ k w I t;əkwɪt
3;ăcquĭʹttal;F.;;;n.;15.0;21;acquittal;acquittal;@ k w I 4 @ l;əkwɪɾəl
3;ăcquĭʹttănce;F.;;;n.;16.0;21;acquaintance;acquaintance;@ k w eI n t @ n s;əkw?ntəns
2;āʹcre;;;;n.;17.0;21;acre;acre;eI k 3:r;?kɜ:r
4;ăʹcrĭmony;L.;;;n.;18.0;21;acrimony;acrimony;{ k r\ i m @U n i:;ækɹimoʊniː
4;ăcrōʹnical;;;;a.;19.0;21;conical;conical;k A n i k @ l;kɑnikəl
3;ăcrŏʹſtic;G.;;;n.;20.0;21;acoustic;acoustic;@ k u s t i k;əkustik
1;ăct;L.;;;v.;21.0;21;act;act;{ k t;ækt
3;ăʹction;L.;;;n.;22.0;21;action;action;{ k S @ n;ækʃən
5;ăʹctionable;;;;a.;23.0;21;actionable;actionable;{ k S @ n @ b @ l;ækʃənəbəl
2;ăʹctĭve;L.;;;a.;24.0;21;active;active;{ k t i v;æktiv
4;ăctĭʹvĭty;L.;;;n.;25.0;21;activity;activity;{ k t I v @ 4 i:;æktɪvəɾiː
2;ăʹctor;L.;;;n.;26.0;21;actor;actor;{ k t 3:r;æktɜ:r
2;ăʹctrĕſs;;;;n.;27.0;21;actress;actress;{ k t r\ @ s;æktɹəs
3;ăʹctūal;F.;;;a.;28.0;21;actual;actual;{ k tS @ w @ l;æk?əwəl
4;ăʹctūāry;L.;;;n.;29.0;21;actuary;actuary;{ k tS @ w E r\ i:;æk?əwɛɹiː
3;ăʹctūāte;L.;;;v.;30.0;21;actuate;actuate;{ k tS u w eI t;æk?uw?t
2;acūʹte;L.;;;a.;31.0;21;acute;acute;@ k j u t;əkjut
2;āʹdāge;L.;;;n.;32.0;21;adage;adage;{ 4 @ dZ;æɾə?
4;adāʹgĭo;;;;a.;33.0;21;adagio;adagio;@ d A Z i: @U;ədɑʒiːoʊ
3;ăʹdămant;L.;;;n.;34.0;21;adamant;adamant;{ 4 @ m @ n t;æɾəmənt
4;ădămăʹntĭne;L.;;;a.;35.0;21;adamant;adamant;{ 4 @ m @ n t;æɾəmənt
3;aʹdămītes;;;;n.;36.0;21;admits;admits;@ d m I t s;ədmɪts
2;adăʹpt;L.;;;v.;37.0;21;adapt;adapt;@ d { p t;ədæpt
3;adăʹpted;;;;v.;38.0;21;adapted;adapted;@ d { p t @ d;ədæptəd
2;āʹdar;;;;n.;39.0;21;adar;adar;@ d A r\;ədɑɹ
1;ădd;L.;;;v.;40.0;21;add;add;{ d;æd
2;ăʹdder;;;;n.;41.0;21;adder;adder;{ 4 3:r;æɾɜ:r
2;ăʹddĭce;;;;n.;42.0;21;addie;addie;{ 4 i:;æɾiː
2;ăddĭʹct;L.;;;v.;43.0;21;addict;addict;@ d I k t;ədɪkt
4;ăʹddĭtăment;L.;;;n.;44.0;21;radiant;radiant;r\ eI 4 i: @ n t;ɹ?ɾiːənt
4;ăddĭʹtion;L.;;;n.;45.0;21;addition;addition;@ d I S @ n;ədɪʃən
5;ăddĭʹtional;;;;a.;46.0;21;additional;additional;@ d I S @ n @ l;ədɪʃənəl
2;ăʹddle;;;;a.;47.0;21;addle;addle;{ 4 @ l;æɾəl
2;ăddrĕʹſs;F.;;;n.;48.0;21;address;address;{ d r\ E s;ædɹɛs
3;ăddūʹcent;L.;;;a.;49.0;21;adjacent;adjacent;@ dZ eI s @ n t;ə??sənt
3;ăddŭʹctors;L.;;;n.;50.0;21;abductors;abductors;{ b d V k t 3:r z;æbdʌktɜ:rz
3;ăʹdĕquāte;L.;;;a.;51.0;21;adequate;adequate;{ 4 @ k w @ t;æɾəkwət
4;ăʹdĕquāt_e_neſs;;;;n.;52.0;21;adequate;adequate;{ 4 @ k w @ t;æɾəkwət
3;ădfĕʹcted;;;;a.;53.0;21;defected;defected;d i f E k t i d;difɛktid
2;ădhēre;L.;nbSyll>1 et pas d'accent tonic;;v.;54.0;21;adhere;adhere;@ d h I r\;ədhɪɹ
3;ădhēʹrĕnce;L.;;;n.;55.0;21;adherence;adherence;@ d h I r\ @ n s;ədhɪɹəns
3;ădhēʹrent;L.;;;n.;56.0;21;adherent;adherent;@ d h I r\ @ n t;ədhɪɹənt
4;ădhēʹſion;L.;;;n.;57.0;21;hession;hession;h E S i n;hɛʃin
3;ădjāʹcent;L.;;;a.;58.0;21;adjacent;adjacent;@ dZ eI s @ n t;ə??sənt
3;ăʹdjĕctive;L.;;;n.;59.0;21;adjective;adjective;{ dZ i k t i v;æ?iktiv
2;adĭeuʹ;F.;;;p.;60.0;21;adieu;adieu;@ d u;ədu
2;ădjoiʹn;L.;;;v.;61.0;21;adjoin;adjoin;@ dZ OI n;ə??n
3;ădj_o_ŭʹrnment;F.;;;n.;62.0;21;adjournment;adjournment;@ dZ 3:r n m @ n t;ə?ɜ:rnmənt
2;ădjŭʹdge;L.;;;v.;63.0;21;adjudge;adjudge;@ dZ V dZ;ə?ʌ?
6;ădjūdĭcāʹtion;L.;;;n.;64.0;21;adjudication;adjudication;@ dZ u 4 @ k eI S @ n;ə?uɾək?ʃən
2;ăʹdjŭnct;L.;;;n.;65.0;21;adjunct;adjunct;{ dZ V N k t;æ?ʌŋkt
2;ădjūʹre;L.;;;v.;66.0;21;majure;majure;m A j U r\ eI;mɑjʊɹ?
2;ădjŭʹſt;F.;;;v.;67.0;21;adjust;adjust;@ dZ V s t;ə?ʌst
3;ăʹdjūtant;L.;;;n.;68.0;21;adjutant;adjutant;{ dZ @ t @ n t;æ?ətənt
4;ădmĭʹnĭſt_e_r;L.;;;v.;69.0;21;administer;administer;@ d m I n @ s t 3:r;ədmɪnəstɜ:r
6;ădmĭnĭſtrātion;L.;nbSyll>1 et pas d'accent tonic;;n.;70.0;21;administration;administration;{ d m I n i s t r\ eI S @ n;ædmɪnistɹ?ʃən
5;ădmĭnĭſtrāʹtor;;;;n.;71.0;21;administrator;administrator;@ d m I n @ s t r\ eI 4 3:r;ədmɪnəstɹ?ɾɜ:r
5;ăʹdmĭnĭſtrāʹtrix;;;;n.;72.0;21;administrator;administrator;@ d m I n @ s t r\ eI 4 3:r;ədmɪnəstɹ?ɾɜ:r
3;ăʹdmĭrăl;L.;;;n.;73.0;21;admiral;admiral;{ d m 3:r @ l;ædmɜ:rəl
4;ăʹdmĭrălty;;;;n.;2.0;22;admiralty;admiralty;{ d m 3:r @ l t i:;ædmɜ:rəltiː
5;ădmĭrāʹtion;L.;;;n.;3.0;22;admiration;admiration;{ d m 3:r eI S @ n;ædmɜ:r?ʃən
2;ădmīʹre;L.;;;v.;4.0;22;admire;admire;{ d m aI r\;ædm?ɹ
3;ădmĭʹttănce;L.;;;n.;5.0;22;admittance;admittance;@ d m I t @ n s;ədmɪtəns
2;ădmĭʹt;L.;;;v.;6.0;22;admit;admit;@ d m I t;ədmɪt
3;ădmŏʹnĭſh;L.;;;v.;7.0;22;admonish;admonish;{ d m A n i S;ædmɑniʃ
5;ădmŏnĭʹtion;L.;;;n.;8.0;22;admonition;admonition;{ d m @ n I S @ n;ædmənɪʃən
4;ădŏlĕʹſcĕnce;L.;;;n.;9.0;22;adolescence;adolescence;{ 4 @ l E s @ n s;æɾəlɛsəns
4;ădŏʹption;L.;;;n.;10.0;22;adoption;adoption;@ d A p S @ n;ədɑpʃən
4;ădōʹrable;;;;a.;11.0;22;adorable;adorable;@ d O: r\ @ b @ l;ədOːɹəbəl
2;ădōʹre;L.;;;v.;12.0;22;adore;adore;@ d O: r\;ədOːɹ
2;ădŏʹrn;L.;;;v.;13.0;22;adorn;adorn;@ d O: r\ n;ədOːɹn
2;ădroiʹt;F.;;;a.;14.0;22;adroit;adroit;@ d r\ OI t;ədɹ?t
5;ădſcĭtĭʹti_o_us;L.;;;a.;15.0;22;factitious;factitious;f { k t I S @ s;fæktɪʃəs
2;ădvăʹnce;F.;;;v.;16.0;22;advance;advance;@ d v { n s;ədvæns
3;ădvăʹnc_e_ment;F.;;;n.;17.0;22;advancement;advancement;@ d v { n s m @ n t;ədvænsmənt
3;ădvăʹntage;F.;;;n.;18.0;22;advantage;advantage;{ d v { n t i dZ;ædvænti?
2;ăʹdvĕnt;L.;;;n.;19.0;22;advent;advent;{ d v E n t;ædvɛnt
5;ădvĕntĭʹti_o_us;L.;;;a.;20.0;22;adventurous;adventurous;{ d v E n tS 3:r @ s;ædvɛn?ɜ:rəs
3;ădvĕʹntŭre;F.;;;n.;21.0;22;adventure;adventure;{ d v E n tS 3:r;ædvɛn?ɜ:r
4;ădvĕʹntŭr_o_us;;;;a.;22.0;22;adventurous;adventurous;{ d v E n tS 3:r @ s;ædvɛn?ɜ:rəs
2;ăʹdverb;L.;;;n.;23.0;22;adverb;adverb;{ d v 3:r b;ædvɜ:rb
4;ăʹdvĕrſăry;L.;;;n.;24.0;22;adversary;adversary;{ d v 3:r s E r\ i:;ædvɜ:rsɛɹiː
2;ăʹdvĕrſe;L.;;;a.;25.0;22;adverse;adverse;{ d v 3:r s;ædvɜ:rs
4;ădvĕʹrſity;L.;;;n.;26.0;22;adversity;adversity;{ d v 3:r s i 4 i:;ædvɜ:rsiɾiː
2;ădvĕʹrt;L.;;;v.;27.0;22;avert;avert;@ v 3:r t;əvɜ:rt
4;ădvĕʹrtĕncy;;;;n.;28.0;22;inadvertence;inadvertence;I n @ d v 3:r t @ n s;ɪnədvɜ:rtəns
3;ădvĕrtĭʹſe;L.;;;v.;29.0;22;advertise;advertise;{ d v 3:r t aI z;ædvɜ:rt?z
2;ădvīʹce;F.;;;n.;30.0;22;advice;advice;{ d v aI s;ædv?s
2;ădvīʹſe;;;;v.;31.0;22;advise;advise;{ d v aI z;ædv?z
5;ădūlāʹtion;L.;;;n.;32.0;22;adulation;adulation;{ dZ @ l eI S @ n;æ?əl?ʃən
5;ăʹdūlătory;L.;;;a.;33.0;22;undulatory;undulatory;V n dZ @ l @ t O: r\ i:;ʌn?ələtOːɹiː
2;adŭʹlt;L.;;;a.;34.0;22;adult;adult;@ d V l t;ədʌlt
4;adŭʹlte˘rāte;L.;;;v.;35.0;22;adulterate;adulterate;@ d V l t 3:r eI t;ədʌltɜ:r?t
4;adŭʹlte˘rer;;;;n.;36.0;22;adulterer;adulterer;@ d V l t 3:r 3:r;ədʌltɜ:rɜ:r
4;adŭʹlte˘reſs;;;;n.;37.0;22;adulterers;adulterers;@ d V l t 3:r 3:r z;ədʌltɜ:rɜ:rz
4;adŭʹlte˘ry;L.;;;n.;38.0;22;adultery;adultery;@ d V l t 3:r i:;ədʌltɜ:riː
3;ăʹdvŏcāte;L.;;;n.;39.0;22;advocate;advocate;{ d v @ k @ t;ædvəkət
3;adʹvȯẇeeʹ;F.;;;n.;40.0;22;avowed;avowed;@ v aU d;əv?d
3;ădvȯẇſon;;nbSyll>1 et pas d'accent tonic;;n.;41.0;22;towson;towson;t @U s @ n;toʊsən
2;ădŭʹſt;L.;;;a.;42.0;22;adjust;adjust;@ dZ V s t;ə?ʌst
4;ădŭʹſtĭble;;;;a.;43.0;22;adjustable;adjustable;@ dZ V s t @ b @ l;ə?ʌstəbəl
3;ăʹdy̆tum;G.;;;n.;44.0;22;yokum;yokum;j @U k @ m;joʊkəm
3;ænĭʹgma;;;;n.;45.0;22;enigma;enigma;i n I g m @;inɪgmə
4;āe˘ʹrĭal;G.;;;a.;46.0;22;aerial;aerial;E r\ i: @ l;ɛɹiːəl
4;æthe˘ʹrĭal;G.;;;a.;47.0;22;theriault;theriault;T E r\ i: @U;θɛɹiːoʊ
5;ăffăbĭʹlĭty;L.;;;n.;48.0;22;affordability;affordability;@ f O: r\ 4 @ b I l @ 4 i:;əfOːɹɾəbɪləɾiː
2;ăffaiʹr;F.;;;n.;49.0;22;affair;affair;@ f E r\;əfɛɹ
2;affe˘ʹct;L.;;;v.;50.0;22;affect;affect;@ f E k t;əfɛkt
5;ăffĕctāʹtion;L.;;;n.;51.0;22;affectation;affectation;{ f E k t eI S @ n;æfɛkt?ʃən
3;ăffĕʹcted;;;;a.;52.0;22;affected;affected;@ f E k t @ d;əfɛktəd
4;ăffĕʹction;L.;;;n.;53.0;22;affection;affection;@ f E k S @ n;əfɛkʃən
5;ăffĕʹctionāte;;;;a.;54.0;22;affectionate;affectionate;@ f E k S @ n @ t;əfɛkʃənət
3;ăffĕʹtto;;;;a.;55.0;22;raffetto;raffetto;r\ A f E 4 @U;ɹɑfɛɾoʊ
3;ăffiʹănce;L.;;;n.;56.0;22;fiance;fiance;f i: A n s eI;fiːɑns?
4;ăffĭdāʹvit;;;;n.;57.0;22;affidavit;affidavit;{ f @ d eI v @ t;æfəd?vət
4;ăffĭʹnĭʹty;L.;;;n.;58.0;22;affinity;affinity;@ f I n @ 4 i:;əfɪnəɾiː
2;ăffĭrm;L.;nbSyll>1 et pas d'accent tonic;;v.;59.0;22;affirm;affirm;@ f 3:r m;əfɜ:rm
5;ăffĭrmāʹtion;L.;;;n.;60.0;22;affirmation;affirmation;{ f 3:r m eI S @ n;æfɜ:rm?ʃən
4;ăffĭʹrmătive;L.;;;a.;61.0;22;affirmative;affirmative;@ f 3:r m @ 4 i v;əfɜ:rməɾiv
2;affĭʹx;L.;;;v.;62.0;22;affix;affix;{ f i k s;æfiks
4;ăfflāʹtion;L.;;;n.;63.0;22;affiliation;affiliation;@ f I l i: eI S @ n;əfɪliː?ʃən
2;ăfflĭʹct;L.;;;v.;64.0;22;afflict;afflict;@ f l I k t;əflɪkt
4;ăfflĭʹction;L.;;;n.;65.0;22;affliction;affliction;@ f l I k S @ n;əflɪkʃən
3;ăfflĭʹctive;;;;a.;66.0;22;afflicted;afflicted;@ f l I k t @ d;əflɪktəd
3;ăfflūĕnce;L.;nbSyll>1 et pas d'accent tonic;;n.;67.0;22;affluence;affluence;{ f l u @ n s;æfluəns
3;ăʹfflūĕnt;L.;;;a.;68.0;22;affluent;affluent;{ f l u @ n t;æfluənt
2;ăʹfflŭx;L.;;;n.;69.0;22;efflux;efflux;E f l @ k s;ɛfləks
2;ăffoʹrd;;;;v.;70.0;22;afford;afford;@ f O: r\ d;əfOːɹd
2;ăffraiʹd;;;;v.;71.0;22;afraid;afraid;@ f r\ eI d;əfɹ?d
2;ăffraʹy;F.;;;n.;72.0;22;jaffray;jaffray;dZ { f r\ eI;?æfɹ?
3;ăʹfrĭcā;;;;n.;73.0;22;africa;africa;{ f r\ @ k @;æfɹəkə
2;affrīʹ_gh_t;;;;v.;2.0;23;fright;fright;f r\ aI t;fɹ?t
2;ăffrŏʹnt;F.;;;v.;3.0;23;affront;affront;@ f r\ V n t;əfɹʌnt
