hwd;pronSampa;ipa
masochist;m { s @ k i s t;mæsəkist
trevathan;t r\ E v @ T @ n;tɹɛvəθən
brozman;b r\ A z m @ n;bɹɑzmən
obligate;A b l @ g eI t;ɑbləg?t
ox;A k s;ɑks
fiendish;f i: n d i S;fiːndiʃ
pittsburghers;p I t s b 3:r g 3:r z;pɪtsbɜ:rgɜ:rz
cranesbills;k r\ eI n z b I l z;kɹ?nzbɪlz
sewage;s u @ dZ;suə?
actuaries;{ k tS @ w E r\ i: z;æk?əwɛɹiːz
odegaard;A 4 i g A r\ d;ɑɾigɑɹd
misjudgment;m i s dZ V dZ m @ n t;mis?ʌ?mənt
tunica;t u n i k @;tunikə
worlder;w 3:r l d 3:r;wɜ:rldɜ:r
financement;f i n { n s m @ n t;finænsmənt
kolterman;k @U l t 3:r m @ n;koʊltɜ:rmən
carrot;k { r\ @ t;kæɹət
yours(3);j 3:r z;jɜ:rz
student;s t u d @ n t;studənt
wolters;w @U l t 3:r z;woʊltɜ:rz
mckethan;m @ k E T @ n;məkɛθən
vandermolen;v { n d 3:r m A l @ n;vændɜ:rmɑlən
typings;t aI p i N z;t?piŋz
dillon;d I l @ n;dɪlən
bolduc's;b @U l d @ k s;boʊldəks
benoit;b @ n OI t;bən?t
kirt;k 3:r t;kɜ:rt
betschart(2);b E tS A r\ t;bɛ?ɑɹt
hanta;h { n t @;hæntə
queenie;k w i: n i:;kwiːniː
abernathy;{ b 3:r n { T i:;æbɜ:rnæθiː
mettler;m E t l 3:r;mɛtlɜ:r
junot;dZ u n @ t;?unət
conjugates;k A n dZ @ g eI t s;kɑn?əg?ts
infantile;I n f @ n t i l;ɪnfəntil
define;d i f aI n;dif?n
biaggi;b i { dZ i:;biæ?iː
driscoll;d r\ I s k @ l;dɹɪskəl
armrests(2);A r\ m r\ E s s;ɑɹmɹɛss
subject's;s V b dZ i k t s;sʌb?ikts
midlands;m I d l { n d z;mɪdlændz
hardpressed;h A r\ d p r\ E s t;hɑɹdpɹɛst
freundlich;f r\ OI n d l i k;fɹ?ndlik
sergey(2);s E r\ g eI;sɛɹg?
patented(2);p { t @ n t i d;pætəntid
bunt;b V n t;bʌnt
dehumanize;d i h j u m @ n aI z;dihjumən?z
heelan;h i: l @ n;hiːlən
tuley;t j u l i:;tjuliː
skoog;s k u g;skug
bejar;b eI j A r\;b?jɑɹ
vacationing;v eI k eI S @ n i N;v?k?ʃəniŋ
kirkby;k 3:r k b i:;kɜ:rkbiː
grbavica(2);g 3:r b @ v aI k @;gɜ:rbəv?kə
fairbank;f E r\ b @ N k;fɛɹbəŋk
canvasses;k { n v @ s i z;kænvəsiz
suffragette;s V f r\ @ dZ E t;sʌfɹə?ɛt
sandberg;s { n d b 3:r g;sændbɜ:rg
crispness;k r\ I s p n @ s;kɹɪspnəs
haupert;h aU p 3:r t;h?pɜ:rt
goldenthal;g @U l d @ n T A l;goʊldənθɑl
mallow;m { l @U;mæloʊ
voelz;v @U l z;voʊlz
srdan;s 3:r d { n;sɜ:rdæn
sounding;s aU n d i N;s?ndiŋ
amfesco;{ m f E s k @U;æmfɛskoʊ
baugher;b O: 3:r;bOːɜ:r
minge;m I n dZ;mɪn?
sram;S r\ { m;ʃɹæm
sarene;s 3:r i: n;sɜ:riːn
emmys;E m i: z;ɛmiːz
spacers;s p eI s 3:r z;sp?sɜ:rz
cristiani's;k r\ I s t i: A n i: z;kɹɪstiːɑniːz
dispersing;d i s p 3:r s i N;dispɜ:rsiŋ
kozo;k @U z @U;koʊzoʊ
concocted;k @ n k A k t @ d;kənkɑktəd
anstett;@ n s t E t;ənstɛt
privileged(3);p r\ I v i l @ dZ d;pɹɪvilə?d
gregory's;g r\ E g 3:r i: z;gɹɛgɜ:riːz
grijalva;g r\ i: j A l v @;gɹiːjɑlvə
gen;dZ E n 3:r @ l;?ɛnɜ:rəl
sanzone;s A n z @U n i:;sɑnzoʊniː
granger;g r\ eI n dZ 3:r;gɹ?n?ɜ:r
bludgeoned;b l V dZ @ n d;blʌ?ənd
lakatos;l { k @ 4 @U z;lækəɾoʊz
knocking;n A k i N;nɑkiŋ
curtis(2);k 3:r 4 i s;kɜ:rɾis
buntz;b V n t s;bʌnts
trudel;t r\ u 4 @ l;tɹuɾəl
traynham;t r\ eI n h @ m;tɹ?nhəm
lovitz;l @U v i t s;loʊvits
yamaichi's;j A m A i: tS i: z;jɑmɑiː?iːz
kittle;k I 4 @ l;kɪɾəl
frisinger;f r\ I s i n dZ 3:r;fɹɪsin?ɜ:r
jade;dZ eI d;??d
ordway;O: r\ d w eI;Oːɹdw?
ranting;r\ { n t i N;ɹæntiŋ
miracles;m I r\ @ k @ l z;mɪɹəkəlz
ziglar;z I g l 3:r;zɪglɜ:r
loyally;l OI @ l i:;l?əliː
bosler(2);b A z l 3:r;bɑzlɜ:r
henchman;h E n tS m @ n;hɛn?mən
depaulo;d i p O: l @U;dipOːloʊ
childe;tS I l d;?ɪld
mantles;m { n t @ l z;mæntəlz
correlate;k O: r\ @ l eI t;kOːɹəl?t
schulhof;S u l h O: f;ʃulhOːf
stenberg;s t E n b 3:r g;stɛnbɜ:rg
klitz;k l I t s;klɪts
wilson;w I l s @ n;wɪlsən
loo;l u;lu
hindsight;h aI n d s aI t;h?nds?t
folliard;f A l j 3:r d;fɑljɜ:rd
resendiz;r\ i s E n d i z;ɹisɛndiz
informix;i n f O: r\ m i k s;infOːɹmiks
huddling(2);h V d l i N;hʌdliŋ
totman;t A t m @ n;tɑtmən
exterminators;i k s t 3:r m @ n eI 4 3:r z;ikstɜ:rmən?ɾɜ:rz
technophobes;t E k n @U f @U b z;tɛknoʊfoʊbz
navajos(2);n { v @ h @U z;nævəhoʊz
eda;i: 4 @;iːɾə
amenity;@ m E n @ 4 i:;əmɛnəɾiː
matton;m { t @ n;mætən
armijo;A r\ m i: j @U;ɑɹmiːjoʊ
nikko's;n i: k @U z;niːkoʊz
oahu;@U A h u;oʊɑhu
chaperoning;S { p 3:r @U n i N;ʃæpɜ:roʊniŋ
ungermann;@ n dZ 3:r m @ n;ən?ɜ:rmən
resale;r\ i: s eI l;ɹiːs?l
indoctrination;i n d A k t r\ @ n eI S @ n;indɑktɹən?ʃən
bredeson;b r\ E 4 i s @ n;bɹɛɾisən
itel;aI t E l;?tɛl
jeffers;dZ E f 3:r z;?ɛfɜ:rz
migneault;m i g n @U;mignoʊ
houseful;h aU s f @ l;h?sfəl
gierke;dZ I r\ k;?ɪɹk
ceiling;s i: l i N;siːliŋ
kozuch;k A z @ h;kɑzəh
defying;d i f aI i N;dif?iŋ
levenberg;l i: v @ n b 3:r g;liːvənbɜ:rg
deducts;d i d V k t s;didʌkts
cdrom;s i: d i: r\ A m;siːdiːɹɑm
farica;f A r\ i: k @;fɑɹiːkə
contemplated;k A n t @ m p l eI 4 i d;kɑntəmpl?ɾid
wai;w aI;w?
stabilizes(2);s t eI b @ l aI z i z;st?bəl?ziz
mustn't;m V s @ n t;mʌsənt
whining;w aI n i N;w?niŋ
sgambati;s k A m b A 4 i:;skɑmbɑɾiː
enskilda;E n s k I l d @;ɛnskɪldə
gainor;g eI n 3:r;g?nɜ:r
simpkins;s I m p k i n z;sɪmpkinz
welz;w E l z;wɛlz
clive;k l aI v;kl?v
underwritings;V n d 3:r r\ aI 4 i N z;ʌndɜ:rɹ?ɾiŋz
soderman;s @U 4 3:r m @ n;soʊɾɜ:rmən
varghese;v A r\ g h i: z;vɑɹghiːz
leaves;l i: v z;liːvz
deposited;d @ p A z i 4 i d;dəpɑziɾid
straum;s t r\ aU m;stɹ?m
jitters;dZ I 4 3:r z;?ɪɾɜ:rz
jaynes;dZ eI n z;??nz
anthropologists;{ n T r\ @ p A l @ dZ @ s t s;ænθɹəpɑlə?əsts
jody;dZ @U 4 i:;?oʊɾiː
aloisa;A l OI s @;ɑl?sə
eustace;j u s t @ s;justəs
rork;r\ O: r\ k;ɹOːɹk
rayl;r\ eI l;ɹ?l
zima;z i: m @;ziːmə
viets;v i: t s;viːts
remand;r\ i m { n d;ɹimænd
bechthold;b E k T @U l d;bɛkθoʊld
nostrand;n A s t r\ @ n d;nɑstɹənd
vet;v E t;vɛt
reprinted;r\ i: p r\ I n t i d;ɹiːpɹɪntid
coherently;k @U h i: r\ @ n t l i:;koʊhiːɹəntliː
scantlin;s k { n t l i n;skæntlin
captor;k { p t 3:r;kæptɜ:r
judson;dZ V d s @ n;?ʌdsən
moslems;m A z l @ m z;mɑzləmz
piver;p aI v 3:r;p?vɜ:r
overregulated;@U v 3:r r\ E g j @ l eI 4 i d;oʊvɜ:rɹɛgjəl?ɾid
bohart;b A h A r\ t;bɑhɑɹt
hardcore;h A r\ d k O: r\;hɑɹdkOːɹ
rallying;r\ { l i: i N;ɹæliːiŋ
levings;l E v i N z;lɛviŋz
pavlak;p A v l @ k;pɑvlək
semireligious;s E m i: r\ i l I dZ @ s;sɛmiːɹilɪ?əs
pinho;p I n h @U;pɪnhoʊ
earthy;3:r T i:;ɜ:rθiː
seconded(2);s E k @ n @ d;sɛkənəd
overbuilding;@U v 3:r b I l d i N;oʊvɜ:rbɪldiŋ
thaler;T eI l 3:r;θ?lɜ:r
thereabouts;D E r\ @ b aU t s;ðɛɹəb?ts
masses;m { s @ z;mæsəz
sonaput;s @ n A p U t;sənɑpʊt
leaner;l i: n 3:r;liːnɜ:r
discourages;d i s k 3:r i dZ i z;diskɜ:ri?iz
better;b E 4 3:r;bɛɾɜ:r
arkansans;A r\ k { n z @ n z;ɑɹkænzənz
orlan;O: r\ l @ n;Oːɹlən
librarian;l aI b r\ E r\ i: @ n;l?bɹɛɹiːən
hayfield;h eI f i: l d;h?fiːld
spetsnaz;s p E t s n { z;spɛtsnæz
vote's;v @U t s;voʊts
nangle;n { N g @ l;næŋgəl
lauderback;l aU 4 3:r b { k;l?ɾɜ:rbæk
corals;k O: r\ @ l z;kOːɹəlz
legislating;l E dZ i s l eI 4 i N;lɛ?isl?ɾiŋ
marchand(2);m A r\ tS { n d;mɑɹ?ænd
boch;b A k;bɑk
presidents(3);p r\ E z i d @ n s;pɹɛzidəns
rhino;r\ aI n @U;ɹ?noʊ
restrained;r\ i: s t r\ eI n d;ɹiːstɹ?nd
rulebook;r\ u l b U k;ɹulbʊk
buckshot;b V k S A t;bʌkʃɑt
weeping;w i: p i N;wiːpiŋ
advantaged(3);{ d v { n i dZ d;ædvæni?d
oleoyls;@U l i: OI l z;oʊliː?lz
firkins;f 3:r k i n z;fɜ:rkinz
novelists(3);n A v @ l @ s;nɑvələs
guarnieri;g A r\ n I r\ i:;gɑɹnɪɹiː
norling;n O: r\ l i N;nOːɹliŋ
ranieri(2);r\ @ n i: E r\ i:;ɹəniːɛɹiː
kyu;k j u;kju
madagascar;m { 4 @ g { s k 3:r;mæɾəgæskɜ:r
belongs;b i l O: N z;bilOːŋz
pudong(2);p u d O: N;pudOːŋ
banik;b { n i k;bænik
chest;tS E s t;?ɛst
aasen;A s @ n;ɑsən
howie;h aU i:;h?iː
genco;dZ E N k @U;?ɛŋkoʊ
intimately;I n t @ m @ t l i:;ɪntəmətliː
sales;s eI l z;s?lz
shuts;S V t s;ʃʌts
partecipazioni;p A r\ t E s i p { z i: @U n i:;pɑɹtɛsipæziːoʊniː
graves's;g r\ eI v z i z;gɹ?vziz
carl's;k A r\ l z;kɑɹlz
wistfulness;w I s t f @ l n @ s;wɪstfəlnəs
haseman;h eI s m @ n;h?smən
lelia;l i: l j @;liːljə
ake;eI k;?k
hebda;h E b d @;hɛbdə
desecrated;d E z @ k r\ eI 4 i d;dɛzəkɹ?ɾid
heralds;h E r\ @ l d z;hɛɹəldz
fortini;f O: r\ t i: n i:;fOːɹtiːniː
svec;s v E k;svɛk
sargeant;s A r\ dZ @ n t;sɑɹ?ənt
thermostats;T 3:r m @ s t { t s;θɜ:rməstæts
vieth;v aI i T;v?iθ
incendiary;i n s E n d i: E r\ i:;insɛndiːɛɹiː
hallin;h { l i n;hælin
growers';g r\ @U 3:r z;gɹoʊɜ:rz
dealmaking;d i: l m eI k i N;diːlm?kiŋ
kalt;k O: l t;kOːlt
acquit;@ k w I t;əkwɪt
sisti;s I s t i:;sɪstiː
gambia;g { m b i: @;gæmbiːə
mam(2);E m eI E m;ɛm?ɛm
esses(2);E s i: z;ɛsiːz
spethmann;s p E T m @ n;spɛθmən
immeasurable;i m E Z 3:r { b @ l;imɛʒɜ:ræbəl
batat;b @ t A t;bətɑt
employee(2);i m p l OI i:;impl?iː
charlestown;tS A r\ l s t aU n;?ɑɹlst?n
barbed;b A r\ b d;bɑɹbd
speculated(2);s p E k j @ l eI 4 i d;spɛkjəl?ɾid
hallums;h { l @ m z;hæləmz
mixers;m I k s 3:r z;mɪksɜ:rz
andel;{ n d @ l;ændəl
veit;v i: t;viːt
derenzo;d i r\ E n z @U;diɹɛnzoʊ
institutionalizing;I n s t i t u S @ n @ l aI z i N;ɪnstituʃənəl?ziŋ
stefanelli;s t E f A n E l i:;stɛfɑnɛliː
shougang;S aU g A N;ʃ?gɑŋ
preservative;p r\ i: z 3:r v @ 4 i v;pɹiːzɜ:rvəɾiv
bruncor;b r\ V n k O: r\;bɹʌnkOːɹ
mary's;m E r\ i: z;mɛɹiːz
perfectionism;p 3:r f E k S @ n I z @ m;pɜ:rfɛkʃənɪzəm
borruso;b O: r\ u s @U;bOːɹusoʊ
sommersby;s V m 3:r r\ z b i:;sʌmɜ:rɹzbiː
grew;g r\ u;gɹu
bolliger;b A l i g 3:r;bɑligɜ:r
politeness;p @ l aI t n @ s;pəl?tnəs
hosed;h @U z d;hoʊzd
whitewater(2);h w aI t w O: 4 3:r;hw?twOːɾɜ:r
gentrification;dZ E n t r\ i f i k eI S @ n;?ɛntɹifik?ʃən
hipolito;i: p @U l i: 4 @U;iːpoʊliːɾoʊ
heckel;h E k @ l;hɛkəl
yigal;j i g { l;jigæl
raser;r\ eI z 3:r;ɹ?zɜ:r
gutkowski;g @ t k O: f s k i:;gətkOːfskiː
chomp;tS A m p;?ɑmp
fleeman;f l i: m @ n;fliːmən
klocek;k l @U s i k;kloʊsik
liverpool;l I v 3:r p u l;lɪvɜ:rpul
scheme;s k i: m;skiːm
disgraced;d i s g r\ eI s t;disgɹ?st
michel's(3);m aI k @ l z;m?kəlz
mcelreath;m { k @ l r\ { T;mækəlɹæθ
orchestra;O: r\ k @ s t r\ @;Oːɹkəstɹə
thereafter;D E r\ { f t 3:r;ðɛɹæftɜ:r
maxus;m { k s @ s;mæksəs
carmon;k A r\ m @ n;kɑɹmən
pirkl;p 3:r k @ l;pɜ:rkəl
brockhoff;b r\ A k h O: f;bɹɑkhOːf
present(2);p r\ i: z E n t;pɹiːzɛnt
gooden;g U d @ n;gʊdən
underbid;V n d 3:r b I d;ʌndɜ:rbɪd
destabilization;d i s t eI b @ l @ z eI S @ n;dist?bələz?ʃən
globus;g l @U b @ s;gloʊbəs
gallard;g @ l A r\ d;gəlɑɹd
labarre;l A b A r\ eI;lɑbɑɹ?
projects(4);p r\ @ dZ E k s;pɹə?ɛks
norther;n O: r\ D 3:r;nOːɹðɜ:r
kyrgyzstan;k I r\ g i s t { n;kɪɹgistæn
scheibner;S aI b n 3:r;ʃ?bnɜ:r
queensberry;k w i: n z b E r\ i:;kwiːnzbɛɹiː
topped;t A p t;tɑpt
acquaintanceship;@ k w eI n t @ n s S i p;əkw?ntənsʃip
johnstone;dZ A n s t @U n;?ɑnstoʊn
kareem;k 3:r i: m;kɜ:riːm
hotels';h @U t E l z;hoʊtɛlz
integrated's;I n t @ g r\ eI 4 i d z;ɪntəgɹ?ɾidz
jeopardized;dZ E p 3:r d aI z d;?ɛpɜ:rd?zd
valdis;v { l d i s;vældis
dreyfuss;d r\ eI f @ s;dɹ?fəs
bug;b V g;bʌg
iconoclastic;aI k @ n @ k l { s t i k;?kənəklæstik
guggenheim;g u g @ n h aI m;gugənh?m
wilczynski;v i l tS I n s k i:;vil?ɪnskiː
emberton;i m b 3:r t @ n;imbɜ:rtən
grey's;g r\ eI z;gɹ?z
tantrums;t { n t r\ @ m z;tæntɹəmz
columbus's;k @ l V m b @ s i z;kəlʌmbəsiz
nonaccruing;n A n @ k r\ u i N;nɑnəkɹuiŋ
deprivation;d E p r\ @ v eI S @ n;dɛpɹəv?ʃən
loury;l u r\ i:;luɹiː
scherb;S 3:r b;ʃɜ:rb
murano;m U r\ A n @U;mʊɹɑnoʊ
samelle;s @ m E l;səmɛl
kienzle;k i: n z @ l;kiːnzəl
mannon;m { n @ n;mænən
laine;l eI n;l?n
talker;t O: k 3:r;tOːkɜ:r
socol;s @U k A l;soʊkɑl
lamattina;l A m A t i: n @;lɑmɑtiːnə
schad;S { d;ʃæd
sabins;s eI b i n z;s?binz
congo;k A N g @U;kɑŋgoʊ
clim;k l I m;klɪm
treaties;t r\ i: 4 i: z;tɹiːɾiːz
entitles;E n t aI 4 @ l z;ɛnt?ɾəlz
flavin;f l eI v i n;fl?vin
policy;p A l @ s i:;pɑləsiː
greenstone;g r\ i: n s t @U n;gɹiːnstoʊn
khufu;k u f u;kufu
wilfong;w I l f O: N;wɪlfOːŋ
schwebke;S w E b k;ʃwɛbk
combest;k @U m i s t;koʊmist
prasad;p r\ { s @ d;pɹæsəd
effectiveness;i f E k t i v n @ s;ifɛktivnəs
stankiewicz;s t { n k @ v i tS;stænkəvi?
missy's;m I s i: z;mɪsiːz
bjorkman;b j O: r\ k m @ n;bjOːɹkmən
ehrig;E r\ i g;ɛɹig
sliding;s l aI 4 i N;sl?ɾiŋ
vagabond;v { g @ b A n d;vægəbɑnd
martek;m A r\ t E k;mɑɹtɛk
monosyllabic;m A n @ s @ l { b i k;mɑnəsəlæbik
benham;b E n h @ m;bɛnhəm
kilbane;k I l b @ n;kɪlbən
slavinski;s l @ v I n s k i:;sləvɪnskiː
drackett;d r\ { k i t;dɹækit
karl;k A r\ l;kɑɹl
zamorano;z A m O: r\ A n @U;zɑmOːɹɑnoʊ
grandstanding;g r\ { n d s t { n d i N;gɹændstændiŋ
marotz;m { r\ @ t s;mæɹəts
deatherage(2);d E T r\ i dZ;dɛθɹi?
stockard;s t A k 3:r d;stɑkɜ:rd
flinn;f l I n;flɪn
mcisaac;m @ k aI z @ k;mək?zək
mercedes;m 3:r s eI 4 i: z;mɜ:rs?ɾiːz
nagel;n eI g @ l;n?gəl
surmounted;s 3:r m aU n t i d;sɜ:rm?ntid
mothon;m A T @ n;mɑθən
mastergate;m { s t 3:r g eI t;mæstɜ:rg?t
pollo;p A l @U;pɑloʊ
kappus;k { p @ s;kæpəs
hajek;h aI E k;h?ɛk
ophelia;@ f i: l j @;əfiːljə
ittner;I t n 3:r;ɪtnɜ:r
trudged;t r\ V dZ d;tɹʌ?d
phonetically;f @ n E 4 i k l i:;fənɛɾikliː
untrammeled;@ n t r\ { m @ l d;əntɹæməld
chopsticks;tS A p s t I k s;?ɑpstɪks
fosler(2);f A s l 3:r;fɑslɜ:r
rapidity;r\ @ p I 4 @ 4 i:;ɹəpɪɾəɾiː
kolodziejski;k @ l A dZ i: eI s k i:;kəlɑ?iː?skiː
idolator;aI d A l @ t 3:r;?dɑlətɜ:r
gotta;g A 4 @;gɑɾə
carlin's;k A r\ l i n z;kɑɹlinz
hubert;h j u b 3:r t;hjubɜ:rt
bearman;b E r\ m @ n;bɛɹmən
pundit;p V n d @ t;pʌndət
birkeland;b 3:r k l @ n d;bɜ:rklənd
urbanize;3:r b @ n aI z;ɜ:rbən?z
bailes;b eI l z;b?lz
stent;s t E n t;stɛnt
plinth;p l I n T;plɪnθ
recollection;r\ E k @ l E k S @ n;ɹɛkəlɛkʃən
rocher(2);r\ @U S 3:r;ɹoʊʃɜ:r
fighters';f aI 4 3:r z;f?ɾɜ:rz
chieftain;tS i: f t @ n;?iːftən
nakamura;n A k A m U r\ @;nɑkɑmʊɹə
prust;p r\ V s t;pɹʌst
monarchy;m A n A r\ k i:;mɑnɑɹkiː
announcers;@ n aU n s 3:r z;ən?nsɜ:rz
aseritis;@ s E r\ i 4 i s;əsɛɹiɾis
exploiting(2);i k s p l OI 4 i N;ikspl?ɾiŋ
galton;g { l t @ n;gæltən
tam;t { m;tæm
wrongdoings;r\ O: N d u i N z;ɹOːŋduiŋz
huibregtse;h u b r\ E k t s;hubɹɛkts
rarity;r\ E r\ @ 4 i:;ɹɛɹəɾiː
soong;s u N;suŋ
thormond;T O: r\ m @ n d;θOːɹmənd
auen;aU @ n;?ən
wimbish;w I m b i S;wɪmbiʃ
mildest;m aI l d @ s t;m?ldəst
odekirk;A 4 i k 3:r k;ɑɾikɜ:rk
indispensible;I n d i s p E n s i b @ l;ɪndispɛnsibəl
hurd;h 3:r d;hɜ:rd
michalsky;m I tS A l s k i:;mɪ?ɑlskiː
defex;d E f E k s;dɛfɛks
questran;k w E s t r\ { n;kwɛstɹæn
melroy;m E l r\ OI;mɛlɹ?
bottino;b @U t i: n @U;boʊtiːnoʊ
adventurism;{ d v E n tS 3:r I z @ m;ædvɛn?ɜ:rɪzəm
o'boyle;@U b OI l;oʊb?l
gayer;g eI 3:r;g?ɜ:r
bernia;b E r\ n i: @;bɛɹniːə
slumping;s l V m p i N;slʌmpiŋ
